Unnamed: 0,pictureName,Diseases,original_path,original_background,original_disease,disease_clean,background_clean,disease_label,background_label,is_augmented,augmentation_type,original_image,split
0.0,bsf_0.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_0.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_0.jpg,train
1.0,bsf_1.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_1.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_1.jpg,train
2.0,bsf_10.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_10.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_10.jpg,test
3.0,bsf_11.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_11.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_11.jpg,validation
4.0,bsf_12.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_12.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_12.jpg,train
5.0,bsf_13.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_13.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_13.jpg,validation
6.0,bsf_14.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_14.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_14.jpg,train
7.0,bsf_15.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_15.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_15.jpg,validation
8.0,bsf_16.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_16.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_16.jpg,train
9.0,bsf_17.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_17.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_17.jpg,validation
10.0,bsf_18.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_18.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_18.jpg,test
11.0,bsf_19.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_19.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_19.jpg,train
12.0,bsf_2.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_2.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_2.jpg,train
13.0,bsf_20.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_20.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_20.jpg,train
14.0,bsf_21.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_21.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_21.jpg,train
15.0,bsf_22.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_22.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_22.jpg,train
16.0,bsf_23.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_23.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_23.jpg,train
17.0,bsf_24.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_24.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_24.jpg,train
18.0,bsf_25.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_25.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_25.jpg,train
19.0,bsf_26.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_26.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_26.jpg,train
20.0,bsf_27.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_27.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_27.jpg,train
21.0,bsf_28.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_28.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_28.jpg,train
22.0,bsf_29.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_29.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_29.jpg,train
23.0,bsf_3.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_3.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_3.jpg,validation
24.0,bsf_30.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_30.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_30.jpg,train
25.0,bsf_31.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_31.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_31.jpg,validation
26.0,bsf_32.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_32.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_32.jpg,train
27.0,bsf_33.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_33.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_33.jpg,train
28.0,bsf_34.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_34.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_34.jpg,train
29.0,bsf_35.jpg,Browon Spot(Feild Background),./Dhan-Shomadhan/Field Background\Browon Spot\bsf_35.jpg,Feild Background,Browon Spot,Brown Spot,Field Background,0,0,False,original,bsf_35.jpg,validation
